OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1,StreetNumber,Address,Latitude,Longitude
2136,0.0,0.0,3.0,,Eriobotrya japonica,63RD ST,"347
Oakland, Ca
(37.80505999961946, -122.27301999967312)",347,"347 63RD ST, Oakland, CA",37.8498712,-122.25437465896269
2162,2.0,3.0,0.0,Moderate,Eriobotrya japonica,10TH AV,"1851
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1851,"1851 10TH AV, Oakland, CA",37.7954584,-122.24541553570036
2222,4.0,10.0,0.0,,Malus sp,EAST 14TH ST,"1155
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1155,"1155 EAST 14TH ST, Oakland, CA",37.7354179,-122.1637695
2687,0.0,0.0,2.0,,Malus sp,ABBEY ST,"2932
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2932,"2932 ABBEY ST, Oakland, CA",37.788449,-122.2056888118943
2420,0.0,0.0,7.0,,Eriobotrya japonica,EAST 15TH ST,"2432
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2432,"2432 EAST 15TH ST, Oakland, CA",37.7831391,-122.2328667010327
2962,0.0,0.0,6.0,,Malus floribunda,28TH AV,"1870
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1870,"1870 28TH AV, Oakland, CA",37.78338941617579,-122.22635416567024
3423,0.0,0.0,3.5,,Eriobotrya japonica,70TH AV,"1001
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1001,"1001 70TH AV, Oakland, CA",37.75748725,-122.19414231688685
3501,0.0,0.0,2.0,,Persea sp / avocado,101ST AV,"1126
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1126,"1126 101ST AV, Oakland, CA",37.739647,-122.17291755261051
36556,0.0,0.0,4.0,,Malus sp,LYON AV,"3901
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3901,"3901 LYON AV, Oakland, CA",37.78354485,-122.20841219381109
2683,2.0,4.0,0.0,Low,Malus sp,FRUITVALE AV,"3003
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3003,"3003 FRUITVALE AV, Oakland, CA",37.79475205,-122.21874563171991
4321,0.0,0.0,5.0,,Malus sp,SUNNYHILLS RD,"951
Oakland, Ca
(37.80505999961946, -122.27301999967312)",951,"951 SUNNYHILLS RD, Oakland, CA",37.80902545,-122.23232736484374
4445,0.0,0.0,7.5,,Citrus sp,LAKE SHORE AV,"4163
Oakland, Ca
(37.80505999961946, -122.27301999967312)",4163,"4163 LAKE SHORE, Oakland, CA",,
4616,2.0,6.0,0.0,Low,Malus sp,VICTOR AV,"3387
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3387,"3387 VICTOR AV, Oakland, CA",37.7995971,-122.19372803577983
4869,0.0,0.0,2.0,,Malus sp,VERNON ST,"396
Oakland, Ca
(37.80505999961946, -122.27301999967312)",396,"396 VERNON ST, Oakland, CA",37.81615695,-122.25410684979661
5364,3.0,3.0,0.0,Moderate,Malus floribunda,HANSOM DR,"7920
Oakland, Ca
(37.80505999961946, -122.27301999967312)",7920,"7920 HANSOM DR, Oakland, CA",37.7752203,-122.13771170087631
5415,0.0,0.0,3.0,,Citrus sp,ROXBURY AV,"3051
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3051,"3051 ROXBURY AV, Oakland, CA",37.73486905,-122.13698614817126
5449,3.0,3.0,0.0,,Malus sp,ACACIA AV,"6315
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6315,"6315 ACACIA AV, Oakland, CA",37.84547435,-122.23576835107943
5566,0.0,0.0,10.0,,Malus sp,MARGARIDO DR,"6017
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6017,"6017 MARGARIDO DR, Oakland, CA",37.8459077,-122.24194583630299
6026,4.0,6.0,0.0,Low,Eriobotrya japonica,57TH ST,"688
Oakland, Ca
(37.80505999961946, -122.27301999967312)",688,"688 57TH ST, Oakland, CA",37.842442950000006,-122.26742723346418
6489,0.0,0.0,2.0,,Malus sp,YOSEMITE AV,"45
Oakland, Ca
(37.80505999961946, -122.27301999967312)",45,"45 YOSEMITE AV, Oakland, CA",37.822970299999994,-122.2548715164568
6668,0.0,0.0,2.0,,Malus floribunda,VICENTE WY,"5508
Oakland, Ca
(37.80505999961946, -122.27301999967312)",5508,"5508 VICENTE WY, Oakland, CA",37.84035565,-122.26037290912642
6777,2.5,2.5,0.0,,Citrus sp,CHABOLYN TR,"5936
Oakland, Ca
(37.80505999961946, -122.27301999967312)",5936,"5936 Chabolyn Terrace, Oakland, CA",37.85097745,-122.24440657493352
6812,0.0,0.0,3.0,,Malus sp,MYSTIC ST,"6451
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6451,"6451 MYSTIC ST, Oakland, CA",37.851408199999995,-122.24920241067798
6839,0.0,0.0,8.0,,Malus floribunda,CHABOT RD,"6037
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6037,"6037 CHABOT RD, Oakland, CA",37.8475898,-122.25152685
6918,0.0,0.0,8.0,,Malus floribunda,CHABOT RD,"6037
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6037,"6037 CHABOT RD, Oakland, CA",37.8475898,-122.25152685
6948,0.0,0.0,3.5,,Malus sp,DANA ST,"6608
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6608,"6608 DANA ST, Oakland, CA",37.85235935,-122.25786359842155
6994,3.5,6.0,0.0,,Malus sp,EAST 20TH ST,"1148
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1148,"1148 EAST 20TH ST, Oakland, CA",37.794780200000005,-122.24247477434292
6989,2.0,3.0,0.0,,Eriobotrya japonica,10TH AV,"1851
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1851,"1851 10TH AV, Oakland, CA",37.7954584,-122.24541553570036
7015,2.0,6.0,0.0,Low,Malus sp,EAST 14TH ST,"831
Oakland, Ca
(37.80505999961946, -122.27301999967312)",831,"831 EAST 14TH ST, Oakland, CA",37.7354179,-122.1637695
18849,3.0,3.0,0.0,,Citrus sp,CLARENDON CR,"1000
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1000,"1000 CLARENDON CR, Oakland, CA",37.8125055,-122.22840366859421
7180,1.0,1.0,0.0,,Citrus sp,EAST 33RD ST,"1426
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1426,"1426 EAST 33RD ST, Oakland, CA",37.80079005,-122.23019724013587
7282,0.0,0.0,6.0,,Persea sp / avocado,EAST 15TH ST,"1705
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1705,"1705 EAST 15TH ST, Oakland, CA",37.788286850000006,-122.24235635
7306,0.0,0.0,6.0,,Malus sp,CAPELL ST,"579
Oakland, Ca
(37.80505999961946, -122.27301999967312)",579,"579 CAPELL ST, Oakland, CA",37.804185950000004,-122.24048368918616
7338,1.0,1.0,0.0,High,Eriobotrya japonica,EAST 22ND ST,"2601
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2601,"2601 EAST 22ND ST, Oakland, CA",37.7867744,-122.22669389160568
7372,0.0,0.0,2.5,,Malus sp,EAST 30TH ST,"2215
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2215,"2215 EAST 30TH ST, Oakland, CA",37.796445399999996,-122.22646985
7448,0.0,0.0,4.0,,Eriobotrya japonica,OCTAVIA ST,"2923
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2923,"2923 OCTAVIA ST, Oakland, CA",37.7891929,-122.2067291021699
7640,0.0,0.0,2.0,,Malus sp,SCHYLER ST,"2936
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2936,"2936 SCHYLER ST, Oakland, CA",37.79477265,-122.2143922747326
7934,2.0,5.0,0.0,Low,Malus sp,63RD AV,"1350
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1350,"1350 63RD AV, Oakland, CA",37.76263865,-122.19769679719585
8006,0.0,0.0,4.0,,Eriobotrya japonica,61ST AV,"1280
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1280,"1280 61ST AV, Oakland, CA",37.762699100000006,-122.20000159343445
8216,0.0,0.0,9.0,,Eriobotrya japonica,60TH AV,"3131
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3131,"3131 60TH AV, Oakland, CA",37.77540195,-122.18418304778457
8190,0.0,0.0,4.0,,Citrus sp,BRANN ST,"6680
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6680,"6680 BRANN ST, Oakland, CA",37.77103395,-122.17980176717954
33991,5.0,5.0,0.0,,Malus floribunda,3RD ST,"200
Oakland, Ca
(37.80505999961946, -122.27301999967312)",200,"200 3RD ST, Oakland, CA",37.79484155,-122.27045313819642
8227,0.0,0.0,6.0,,Persea sp / avocado,HAVENSCOURT BL,"2600
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2600,"2600 HAVENSCOURT, Oakland, CA",37.7676019,-122.1841686484534
8348,0.0,0.0,2.0,,Eriobotrya japonica,103RD AV,"1754
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1754,"1754 103RD AV, Oakland, CA",37.7417959,-122.16353971448764
8428,0.0,0.0,3.5,,Malus sp,BEVERLY AV,"10700
Oakland, Ca
(37.80505999961946, -122.27301999967312)",10700,"10700 BEVERLY AV, Oakland, CA",37.7399707,-122.15934007931034
8546,0.0,0.0,5.5,,Eriobotrya japonica,84TH AV,"1239
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1239,"1239 84TH AV, Oakland, CA",37.75304915,-122.18041305120049
8987,3.0,3.0,0.0,,Malus floribunda,SAN SEBASTIAN AV,"4618
Oakland, Ca
(37.80505999961946, -122.27301999967312)",4618,"4618 SAN SEBASTIAN AV, Oakland, CA",37.8106432,-122.21854792249852
9149,2.0,2.0,0.0,Moderate,Citrus sp,DAVENPORT AV,"4859
Oakland, Ca
(37.80505999961946, -122.27301999967312)",4859,"4859 DAVENPORT AV, Oakland, CA",37.7849695,-122.1814377617228
9224,0.0,0.0,3.0,,Malus sp,GLENDORA AV,"1072
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1072,"1072 GLENDORA AV, Oakland, CA",37.810664599999996,-122.22034329715422
